rocket_family,mission,rocket,provider,year,launch_site,location,status,era
Juno-I,Explorer 4,Juno-I,Army Ballistic Missile Agency,1958,Launch Complex 5,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Project Pilot,NOTS 2,Project Pilot,US Navy,1958,Naval Air Weapons Station China Lake,Air launch to Suborbital flight,Launch Failure,Space Race
Thor Able I,Able I (Pioneer),Thor Able I,Army Ballistic Missile Agency,1958,Space Launch Complex 17A,"Cape Canaveral SFS, FL, USA",Launch Failure,Space Race
Project Pilot,NOTS 3,Project Pilot,US Navy,1958,Naval Air Weapons Station China Lake,Air launch to Suborbital flight,Launch Failure,Space Race
Juno-I,Explorer 5,Juno-I,Army Ballistic Missile Agency,1958,Launch Complex 5,"Cape Canaveral SFS, FL, USA",Launch Failure,Space Race
Project Pilot,NOTS 4,Project Pilot,US Navy,1958,Naval Air Weapons Station China Lake,Air launch to Suborbital flight,Launch Failure,Space Race
Project Pilot,NOTS 5,Project Pilot,US Navy,1958,Naval Air Weapons Station China Lake,Air launch to Suborbital flight,Launch Failure,Space Race
Project Pilot,NOTS 6,Project Pilot,US Navy,1958,Naval Air Weapons Station China Lake,Air launch to Suborbital flight,Launch Failure,Space Race
Vostok-L 8K72,Luna-1a,Vostok-L 8K72,Soviet Space Program,1958,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure,Space Race
Vanguard,Vanguard,Vanguard,US Navy,1958,Launch Complex 18A,"Cape Canaveral SFS, FL, USA",Launch Failure,Space Race
Thor Able I,Pioneer 1,Thor Able I,Army Ballistic Missile Agency,1958,Space Launch Complex 17A,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Vostok-L 8K72,Luna-1b,Vostok-L 8K72,Soviet Space Program,1958,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure,Space Race
Juno-I,Beacon,Juno-I,Army Ballistic Missile Agency,1958,Launch Complex 5,"Cape Canaveral SFS, FL, USA",Launch Failure,Space Race
Thor Able I,Pioneer 2,Thor Able I,Army Ballistic Missile Agency,1958,Space Launch Complex 17A,"Cape Canaveral SFS, FL, USA",Launch Failure,Space Race
Vostok-L 8K72,Luna-1c,Vostok-L 8K72,Soviet Space Program,1958,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure,Space Race
Juno II,Pioneer 3,Juno II,National Aeronautics and Space Administration,1958,Launch Complex 5,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Atlas B,SCORE,Atlas B,US Army,1958,Launch Complex 11,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Vostok-L 8K72,Luna-1,Vostok-L 8K72,Soviet Space Program,1959,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Space Race
Vanguard,Vanguard II,Vanguard,US Navy,1959,Launch Complex 18A,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Thor Agena A,Discoverer 1,Thor Agena A,United States Air Force,1959,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Failure,Space Race
Juno II,Pioneer 4,Juno II,National Aeronautics and Space Administration,1959,Launch Complex 5,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Thor Agena A,Discoverer 2,Thor Agena A,United States Air Force,1959,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Vanguard,Vanguard,Vanguard,US Navy,1959,Launch Complex 18A,"Cape Canaveral SFS, FL, USA",Launch Failure,Space Race
Thor Agena A,Discoverer 3,Thor Agena A,United States Air Force,1959,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Failure,Space Race
Vostok-L 8K72,Luna-2a,Vostok-L 8K72,Soviet Space Program,1959,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure,Space Race
Vanguard,Vanguard,Vanguard,US Navy,1959,Launch Complex 18A,"Cape Canaveral SFS, FL, USA",Launch Failure,Space Race
Thor Agena A,Discoverer 4,Thor Agena A,United States Air Force,1959,Space Launch Complex 1E,"Vandenberg SFB, CA, USA",Launch Failure,Space Race
Juno II,NASA S-1,Juno II,National Aeronautics and Space Administration,1959,Launch Complex 5,"Cape Canaveral SFS, FL, USA",Launch Failure,Space Race
Thor Able III,Explorer 6,Thor Able III,United States Air Force,1959,Space Launch Complex 17A,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Thor Agena A,Discoverer 5,Thor Agena A,United States Air Force,1959,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Juno II,Beacon,Juno II,National Aeronautics and Space Administration,1959,Launch Complex 26B,"Cape Canaveral SFS, FL, USA",Launch Failure,Space Race
Thor Agena A,Discoverer 6,Thor Agena A,United States Air Force,1959,Space Launch Complex 1E,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Little Joe,LJ-1,Little Joe,National Aeronautics and Space Administration,1959,Launch Area 1,"Wallops Flight Facility, Virginia, USA",Launch Failure,Space Race
Atlas LV-3B,Big Joe 1,Atlas LV-3B,National Aeronautics and Space Administration,1959,Space Launch Complex 14,"Cape Canaveral SFS, FL, USA",Launch was a Partial Failure,Space Race
Vostok-L 8K72,Luna-2,Vostok-L 8K72,Soviet Space Program,1959,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Space Race
Thor Able II,Transit 1A,Thor Able II,United States Air Force,1959,Space Launch Complex 17A,"Cape Canaveral SFS, FL, USA",Launch Failure,Space Race
Vanguard,Vanguard III,Vanguard,US Navy,1959,Launch Complex 18A,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Vostok-L 8K72,Luna-3,Vostok-L 8K72,Soviet Space Program,1959,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Space Race
Little Joe,LJ-6,Little Joe,National Aeronautics and Space Administration,1959,Launch Area 1,"Wallops Flight Facility, Virginia, USA",Launch was a Partial Failure,Space Race
Juno II,Explorer 7,Juno II,National Aeronautics and Space Administration,1959,Launch Complex 5,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Little Joe,LJ-1A,Little Joe,National Aeronautics and Space Administration,1959,Launch Area 1,"Wallops Flight Facility, Virginia, USA",Launch was a Partial Failure,Space Race
Thor Agena A,Discoverer 7,Thor Agena A,United States Air Force,1959,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Thor Agena A,Discoverer 8,Thor Agena A,United States Air Force,1959,Space Launch Complex 1E,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Atlas-Able,P-3,Atlas-Able,United States Air Force,1959,Space Launch Complex 14,"Cape Canaveral SFS, FL, USA",Launch Failure,Space Race
Little Joe,LJ-2,Little Joe,National Aeronautics and Space Administration,1959,Launch Area 1,"Wallops Flight Facility, Virginia, USA",Launch Successful,Space Race
Little Joe,LJ-1B,Little Joe,National Aeronautics and Space Administration,1960,Launch Area 1,"Wallops Flight Facility, Virginia, USA",Launch Successful,Space Race
Thor Agena A,Discoverer 9,Thor Agena A,United States Air Force,1960,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Failure,Space Race
Thor Agena A,Discoverer 10,Thor Agena A,United States Air Force,1960,Space Launch Complex 1E,"Vandenberg SFB, CA, USA",Launch Failure,Space Race
Atlas Agena A,Midas 1,Atlas Agena A,United States Air Force,1960,Space Launch Complex 14,"Cape Canaveral SFS, FL, USA",Launch Failure,Space Race
Thor Able IV,Pioneer V,Thor Able IV,United States Air Force,1960,Space Launch Complex 17A,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Juno II,NASA S-46,Juno II,National Aeronautics and Space Administration,1960,Launch Complex 26B,"Cape Canaveral SFS, FL, USA",Launch Failure,Space Race
Thor Able II,Tiros 1,Thor Able II,United States Air Force,1960,Space Launch Complex 17A,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Thor DM-21 Ablestar,Transit 1B,Thor DM-21 Ablestar,United States Air Force,1960,Space Launch Complex 17B,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Vostok-L 8K72,Luna-4a,Vostok-L 8K72,Soviet Space Program,1960,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure,Space Race
Thor Agena A,Discoverer 11,Thor Agena A,United States Air Force,1960,Space Launch Complex 1E,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Vostok-L 8K72,Luna-4b,Vostok-L 8K72,Soviet Space Program,1960,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure,Space Race
Thor Delta,Echo,Thor Delta,United States Air Force,1960,Space Launch Complex 17A,"Cape Canaveral SFS, FL, USA",Launch Failure,Space Race
Vostok 8K72,Korabl'-Sputnik-1,Vostok 8K72,Soviet Space Program,1960,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Space Race
Atlas Agena A,Midas 2,Atlas Agena A,United States Air Force,1960,Space Launch Complex 14,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Thor DM-21 Ablestar,Transit 2A,Thor DM-21 Ablestar,United States Air Force,1960,Space Launch Complex 17B,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Thor Agena A,Discoverer 12,Thor Agena A,United States Air Force,1960,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Failure,Space Race
Vostok 8K72,Korabl-Sputnik (2),Vostok 8K72,Soviet Space Program,1960,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure,Space Race
Atlas LV-3B,Mercury-Atlas 1,Atlas LV-3B,National Aeronautics and Space Administration,1960,Space Launch Complex 14,"Cape Canaveral SFS, FL, USA",Launch Failure,Space Race
Thor Agena A,Discoverer 13,Thor Agena A,United States Air Force,1960,Space Launch Complex 1E,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Thor Delta,Echo 1,Thor Delta,United States Air Force,1960,Space Launch Complex 17A,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Thor Agena A,Discoverer 14,Thor Agena A,United States Air Force,1960,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Thor DM-21 Ablestar,Courier 1A,Thor DM-21 Ablestar,United States Air Force,1960,Space Launch Complex 17B,"Cape Canaveral SFS, FL, USA",Launch Failure,Space Race
Vostok 8K72,Korabl'-Sputnik-2,Vostok 8K72,Soviet Space Program,1960,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Space Race
Thor Agena A,Discoverer 15,Thor Agena A,United States Air Force,1960,Space Launch Complex 1E,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Blue Scout Jr,Blue Scout D-1,Blue Scout Jr,United States Air Force,1960,Launch Complex 18A,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Atlas-Able,P-30 (Able VA),Atlas-Able,United States Air Force,1960,Launch Complex 12,"Cape Canaveral SFS, FL, USA",Launch Failure,Space Race
Scout X-1,ST-2,Scout X-1,National Aeronautics and Space Administration,1960,Launch Area 3,"Wallops Flight Facility, Virginia, USA",Launch Successful,Space Race
Thor DM-21 Ablestar,Courier 1B,Thor DM-21 Ablestar,United States Air Force,1960,Space Launch Complex 17B,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Molniya 8K78,Mars-1a,Molniya 8K78,Soviet Space Program,1960,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure,Space Race
Atlas Agena A,Samos 1,Atlas Agena A,United States Air Force,1960,Space Launch Complex 3W,"Vandenberg SFB, CA, USA",Launch Failure,Space Race
Molniya 8K78,Mars-1b,Molniya 8K78,Soviet Space Program,1960,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure,Space Race
Thor DM-21 Agena-B,Discoverer 16,Thor DM-21 Agena-B,United States Air Force,1960,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Failure,Space Race
Juno II,Explorer 8,Juno II,National Aeronautics and Space Administration,1960,Launch Complex 26B,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Little Joe,LJ-5,Little Joe,National Aeronautics and Space Administration,1960,Launch Area 1,"Wallops Flight Facility, Virginia, USA",Launch Failure,Space Race
Thor DM-21 Agena-B,Discoverer 17,Thor DM-21 Agena-B,United States Air Force,1960,Space Launch Complex 1E,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Redstone MRLV,Mercury-Redstone 1,Redstone,National Aeronautics and Space Administration,1960,Launch Complex 5,"Cape Canaveral SFS, FL, USA",Launch Failure,Space Race
Thor Delta,Tiros 2,Thor Delta,United States Air Force,1960,Space Launch Complex 17A,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Thor DM-21 Ablestar,Transit 3A,Thor DM-21 Ablestar,United States Air Force,1960,Space Launch Complex 17B,"Cape Canaveral SFS, FL, USA",Launch Failure,Space Race
Vostok 8K72,Korabl'-Sputnik-3,Vostok 8K72,Soviet Space Program,1960,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Space Race
Scout X-1,NASA S-56,Scout X-1,National Aeronautics and Space Administration,1960,Launch Area 3,"Wallops Flight Facility, Virginia, USA",Launch Failure,Space Race
Thor DM-21 Agena-B,Discoverer 18,Thor DM-21 Agena-B,United States Air Force,1960,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Atlas-Able,P-31,Atlas-Able,United States Air Force,1960,Launch Complex 12,"Cape Canaveral SFS, FL, USA",Launch Failure,Space Race
Redstone MRLV,Mercury-Redstone 1A,Redstone,National Aeronautics and Space Administration,1960,Launch Complex 5,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Thor DM-21 Agena-B,Discoverer 19,Thor DM-21 Agena-B,United States Air Force,1960,Space Launch Complex 1E,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Vostok,Korabl-Sputnik (4),Vostok,Soviet Space Program,1960,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure,Space Race
Redstone MRLV,Mercury-Redstone 2,Redstone,National Aeronautics and Space Administration,1961,Launch Complex 5,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Atlas LV-3A,Samos 2,Atlas Agena B,United States Air Force,1961,Space Launch Complex 3W,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Molniya 8K78,Venera-1VA 1,Molniya 8K78,Soviet Space Program,1961,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure,Space Race
Molniya 8K78,Venera-1VA 2,Molniya 8K78,Soviet Space Program,1961,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Space Race
Scout X-1,Explorer 9,Scout X-1,National Aeronautics and Space Administration,1961,Launch Area 3,"Wallops Flight Facility, Virginia, USA",Launch Successful,Space Race
Thor DM-21 Agena-B,KH-5 1,Thor DM-21 Agena-B,United States Air Force,1961,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Thor DM-21 Agena-B,Discoverer 21 (MIDAS RM-2),Thor DM-21 Agena-B,United States Air Force,1961,Space Launch Complex 1E,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Atlas LV-3B,Mercury-Atlas 2,Atlas LV-3B,National Aeronautics and Space Administration,1961,Space Launch Complex 14,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Thor DM-21 Ablestar,Transit 3B & LOFTI-1,Thor DM-21 Ablestar,United States Air Force,1961,Space Launch Complex 17B,"Cape Canaveral SFS, FL, USA",Launch was a Partial Failure,Space Race
Juno II,S-45,Juno II,Army Ballistic Missile Agency,1961,Launch Complex 26B,"Cape Canaveral SFS, FL, USA",Launch Failure,Space Race
Vostok-K,Sputnik 9,Vostok,Soviet Space Program,1961,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Space Race
Little Joe,LJ-5A,Little Joe,National Aeronautics and Space Administration,1961,Launch Area 1,"Wallops Flight Facility, Virginia, USA",Launch was a Partial Failure,Space Race
Redstone MRLV,Mercury-Redstone BD,Redstone,National Aeronautics and Space Administration,1961,Launch Complex 5,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Vostok-K,Sputnik 10,Vostok,Soviet Space Program,1961,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Space Race
Delta DM-19,Explorer 10,Delta DM-19,United States Air Force,1961,Space Launch Complex 17A,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Thor DM-21 Agena-B,Discoverer 22,Thor DM-21 Agena-B,United States Air Force,1961,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Failure,Space Race
Thor DM-21 Agena-B,KH-5 2,Thor DM-21 Agena-B,United States Air Force,1961,Space Launch Complex 1E,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Vostok-K,Vostok 1,Vostok,Soviet Space Program,1961,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Space Race
Trailblazer 1,Trailblazer 1g,Trailblazer 1,National Aeronautics and Space Administration,1961,Unknown Pad,"Wallops Flight Facility, Virginia, USA",Launch Successful,Space Race
Atlas LV-3B,Mercury-Atlas 3,Atlas LV-3B,National Aeronautics and Space Administration,1961,Space Launch Complex 14,"Cape Canaveral SFS, FL, USA",Launch Failure,Space Race
Juno II,Explorer 11,Juno II,Army Ballistic Missile Agency,1961,Launch Complex 26B,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Little Joe,LJ-5B,Little Joe,National Aeronautics and Space Administration,1961,Launch Area 4,"Wallops Flight Facility, Virginia, USA",Launch Successful,Space Race
Redstone MRLV,Mercury-Redstone 3,Redstone,National Aeronautics and Space Administration,1961,Launch Complex 5,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Juno II,S-45A,Juno II,Army Ballistic Missile Agency,1961,Launch Complex 26B,"Cape Canaveral SFS, FL, USA",Launch Failure,Space Race
Thor DM-21 Agena-B,KH-5 3,Thor DM-21 Agena-B,United States Air Force,1961,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Failure,Space Race
Thor DM-21 Agena-B,Discoverer 25,Thor DM-21 Agena-B,United States Air Force,1961,Space Launch Complex 2E,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Thor DM-21 Ablestar,Transit 4A & Injun-1 & Solrad 3,Thor DM-21 Ablestar,United States Air Force,1961,Space Launch Complex 17B,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Scout X-1,S-55,Scout X-1,National Aeronautics and Space Administration,1961,Launch Area 3,"Wallops Flight Facility, Virginia, USA",Launch Failure,Space Race
Thor DM-21 Agena-B,Discoverer 26,Thor DM-21 Agena-B,United States Air Force,1961,Space Launch Complex 1E,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Delta DM-19,Tiros-3,Delta DM-19,United States Air Force,1961,Space Launch Complex 17A,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Atlas LV-3A,MIDAS 3,Atlas Agena B,United States Air Force,1961,Space Launch Complex 3E,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Redstone MRLV,Mercury-Redstone 4,Redstone,National Aeronautics and Space Administration,1961,Launch Complex 5,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Thor DM-21 Agena-B,KH-5 4,Thor DM-21 Agena-B,United States Air Force,1961,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Failure,Space Race
Thor DM-21 Agena-B,Discoverer 28,Thor DM-21 Agena-B,United States Air Force,1961,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Failure,Space Race
Vostok-K,Vostok 2,Vostok,Soviet Space Program,1961,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Space Race
Delta DM-19,Explorer 12,Delta DM-19,United States Air Force,1961,Space Launch Complex 17A,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Blue Scout Jr,O-1,Blue Scout Jr,United States Air Force,1961,Launch Complex 18A,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Atlas LV-3A,Ranger 1,Atlas Agena B,United States Air Force,1961,Launch Complex 12,"Cape Canaveral SFS, FL, USA",Launch was a Partial Failure,Space Race
Scout X-1,Explorer 13,Scout X-1,National Aeronautics and Space Administration,1961,Launch Area 3,"Wallops Flight Facility, Virginia, USA",Launch Failure,Space Race
Thor DM-21 Agena-B,Discoverer 29,Thor DM-21 Agena-B,United States Air Force,1961,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Atlas LV-3A,Samos 3,Atlas Agena B,United States Air Force,1961,Space Launch Complex 3W,"Vandenberg SFB, CA, USA",Launch Failure,Space Race
Thor DM-21 Agena-B,Discoverer 30,Thor DM-21 Agena-B,United States Air Force,1961,Space Launch Complex 1E,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Atlas LV-3B,Mercury-Atlas 4,Atlas LV-3B,National Aeronautics and Space Administration,1961,Space Launch Complex 14,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Thor DM-21 Agena-B,Discoverer 31,Thor DM-21 Agena-B,United States Air Force,1961,Space Launch Complex 2E,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Thor DM-21 Agena-B,Discoverer 32,Thor DM-21 Agena-B,United States Air Force,1961,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Scout X-1,P-21,Scout X-1,National Aeronautics and Space Administration,1961,Launch Area 3,"Wallops Flight Facility, Virginia, USA",Launch Successful,Space Race
Atlas LV-3A,MIDAS 4 & Westford-1,Atlas Agena B,United States Air Force,1961,Space Launch Complex 3E,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Thor DM-21 Agena-B,Discoverer 33,Thor DM-21 Agena-B,United States Air Force,1961,Space Launch Complex 1E,"Vandenberg SFB, CA, USA",Launch Failure,Space Race
Saturn I,Saturn SA-1,Saturn I,National Aeronautics and Space Administration,1961,Launch Complex 34,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Kosmos-2I 63S1,Kosmos-2I | DS-1-1,Kosmos-2I 63S1,Strategic Rocket Forces,1961,Mayak-2,"Kapustin Yar, Russian Federation",Launch Failure,Space Race
Blue Scout II,Mercury-Scout 1,Blue Scout II,National Aeronautics and Space Administration,1961,Launch Complex 18B,"Cape Canaveral SFS, FL, USA",Launch Failure,Space Race
Thor DM-21 Agena-B,Discoverer 34,Thor DM-21 Agena-B,United States Air Force,1961,Space Launch Complex 2E,"Vandenberg SFB, CA, USA",Launch was a Partial Failure,Space Race
Thor DM-21 Agena-B,Discoverer 35,Thor DM-21 Agena-B,United States Air Force,1961,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Thor DM-21 Ablestar,Transit 4B & TRAAC,Thor DM-21 Ablestar,United States Air Force,1961,Space Launch Complex 17B,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Atlas LV-3A,Ranger 2,Atlas Agena B,United States Air Force,1961,Launch Complex 12,"Cape Canaveral SFS, FL, USA",Launch Failure,Space Race
Atlas LV-3A,Samos 4,Atlas Agena B,United States Air Force,1961,Space Launch Complex 3W,"Vandenberg SFB, CA, USA",Launch Failure,Space Race
Atlas LV-3B,Mercury-Atlas 5,Atlas LV-3B,National Aeronautics and Space Administration,1961,Space Launch Complex 14,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Blue Scout Jr,Blue Scout Jr. O-2,Blue Scout Jr,United States Air Force,1961,Launch Complex A,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Vostok-K,Zenit-2 1,Vostok,Soviet Space Program,1961,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure,Space Race
Thor DM-21 Agena-B,Discoverer 36 & OSCAR 1,Thor DM-21 Agena-B,United States Air Force,1961,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Kosmos-2I 63S1,DS-1 2,Kosmos-2I 63S1,Strategic Rocket Forces,1961,Mayak-2,"Kapustin Yar, Russian Federation",Launch Failure,Space Race
Atlas LV-3A,Samos 5,Atlas Agena B,United States Air Force,1961,Space Launch Complex 3E,"Vandenberg SFB, CA, USA",Launch was a Partial Failure,Space Race
Thor DM-21 Agena-B,Discoverer 37,Thor DM-21 Agena-B,United States Air Force,1962,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Failure,Space Race
Thor DM-21 Ablestar,5 Payloads Rideshare,Thor DM-21 Ablestar,United States Air Force,1962,Space Launch Complex 17B,"Cape Canaveral SFS, FL, USA",Launch Failure,Space Race
Atlas Agena B,Ranger 3,Atlas Agena B,United States Air Force,1962,Launch Complex 12,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Thor Delta,Tiros 4,Thor Delta,United States Air Force,1962,Space Launch Complex 17A,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Atlas LV-3B,Mercury-Atlas 6,Atlas LV-3B,National Aeronautics and Space Administration,1962,Space Launch Complex 14,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Thor DM-21 Agena-B,P-102 Group 0-D,Thor DM-21 Agena-B,United States Air Force,1962,Space Launch Complex 1E,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Thor DM-21 Agena-B,KH-4 1,Thor DM-21 Agena-B,United States Air Force,1962,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Thor Delta,OSO 1,Thor Delta,United States Air Force,1962,Space Launch Complex 17A,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Atlas Agena B,Samos 6,Atlas Agena B,United States Air Force,1962,Space Launch Complex 3E,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Kosmos-2I 63S1,DS-2 1,Kosmos-2I 63S1,Soviet Space Program,1962,Mayak-2,"Kapustin Yar, Russian Federation",Launch Successful,Space Race
